group,name,radius,equatorial_radius,mass,density,rotation_period,orbit_Period,gravity,escape_velocity
sun,sun,696342,NA,1988470000000000000000000000000.0000000,1.408,30,NA,274,NA
Mercury,Mercury,2439.4,2440.53,330114000000000000000000.0000000,5.429,58.6462,0.2408467,3.7,4.25
Venus,Venus,6051.8,6051.8,4867470000000000000000000.0000000,5.243,-243.018,0.61519726,8.87,10.36
Earth,Earth,6371.008,6378.1366,5972370000000000000000000.0000000,5.514,0.99726968,1.0000174,9.8,11.19
Mars,Mars,3389.5,3396.19,641712000000000000000000.0000000,3.934,1.02595676,1.8808476,3.71,5.03
Jupiter,Jupiter,69911,71492,1898190000000000000000000000.0000000,1.326,0.41354,11.862615,24.79,60.2
Saturn,Saturn,58232,60268,568317000000000000000000000.0000000,0.687,0.44401,29.447498,10.44,36.09
Uranus,Uranus,25362,25559,86812700000000000000000000.0000000,1.27,-0.71833,84.016846,8.87,21.38
Neptune,Neptune,24622,24764,102413000000000000000000000.0000000,1.638,0.67125,164.79132,11.15,23.56
Pluto,Pluto,1188.3,1188.3,13030000000000000000000.0000000,1.89,-6.3872,247.92065,0.62,1.21
Earth,Moon,1737.5,NA,73476700000000000000000.0000000,3.344,NA,NA,NA,NA
Mars,Phobos,11.1,NA,10655500000000000.0000000,1.872,NA,NA,NA,NA
Mars,Deimos,6.2,NA,1468700000000000.0000000,1.471,NA,NA,NA,NA
Jupiter,Io,1821.6,NA,89319400000000000000000.0000000,3.528,NA,NA,NA,NA
Jupiter,Europa,1560.8,NA,47998400000000000000000.0000000,3.013,NA,NA,NA,NA
Jupiter,Ganymede,2631.2,NA,148186000000000000000000.0000000,1.942,NA,NA,NA,NA
Jupiter,Callisto,2410.3,NA,107594000000000000000000.0000000,1.834,NA,NA,NA,NA
Jupiter,Amalthea,83.45,NA,2068160000000000000.0000000,0.849,NA,NA,NA,NA
Jupiter,Himalia,85,NA,6744010000000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Elara,43,NA,869228000000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Pasiphae,30,NA,299734000000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Sinope,19,NA,74933400000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Lysithea,18,NA,62944100000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Carme,23,NA,131883000000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Ananke,14,NA,29973400000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Leda,10,NA,10940300000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Thebe,49.3,NA,1498670000000000000.0000000,3,NA,NA,NA,NA
Jupiter,Adrastea,8.2,NA,7493340000000000.0000000,3,NA,NA,NA,NA
Jupiter,Metis,21.5,NA,119893000000000000.0000000,3,NA,NA,NA,NA
Jupiter,Callirrhoe,4.3,NA,869228000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Themisto,4,NA,689387000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Megaclite,2.7,NA,209814000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Taygete,2.5,NA,164854000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Chaldene,1.9,NA,74933400000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Harpalyke,2.2,NA,119893000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Kalyke,2.6,NA,194827000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Iocaste,2.6,NA,194827000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Erinome,1.6,NA,44960100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Isonoe,1.9,NA,74933400000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Praxidike,3.4,NA,434614000000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Autonoe,2,NA,89920100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Thyone,2,NA,89920100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Hermippe,2,NA,89920100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Aitne,1.5,NA,44960100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Eurydome,1.5,NA,44960100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Euanthe,1.5,NA,44960100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Euporie,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Orthosie,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Sponde,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Kale,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Pasithee,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Hegemone,1.5,NA,44960100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Mneme,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Aoede,2,NA,89920100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Thelxinoe,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Arche,1.5,NA,44960100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Kallichore,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Helike,2,NA,89920100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Carpo,1.5,NA,44960100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Eukelade,2,NA,89920100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Cyllene,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Kore,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,Herse,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2000 J11,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J2,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J3,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J4,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J5,2,NA,89920100000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J9,0.5,NA,0.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J10,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J12,0.5,NA,0.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J15,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J16,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J18,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J19,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2003 J23,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2010 J1,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2010 J2,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2011 J1,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Jupiter,S/2011 J2,1,NA,14986700000000.0000000,2.6,NA,NA,NA,NA
Saturn,Mimas,198.2,NA,37505700000000000000.0000000,1.15,NA,NA,NA,NA
Saturn,Enceladus,252.1,NA,107945000000000000000.0000000,1.608,NA,NA,NA,NA
Saturn,Tethys,533,NA,617552000000000000000.0000000,0.973,NA,NA,NA,NA
Saturn,Dione,561.7,NA,1095750000000000000000.0000000,1.476,NA,NA,NA,NA
Saturn,Rhea,764.3,NA,2307090000000000000000.0000000,1.233,NA,NA,NA,NA
Saturn,Titan,2574.73,NA,134553000000000000000000.0000000,1.882,NA,NA,NA,NA
Saturn,Hyperion,135,NA,5585540000000000000.0000000,0.544,NA,NA,NA,NA
Saturn,Iapetus,735.6,NA,1805950000000000000000.0000000,1.083,NA,NA,NA,NA
Saturn,Phoebe,106.5,NA,8290630000000000000.0000000,1.638,NA,NA,NA,NA
Saturn,Janus,89.5,NA,1892820000000000000.0000000,0.63,NA,NA,NA,NA
Saturn,Epimetheus,58.1,NA,526033000000000000.0000000,0.64,NA,NA,NA,NA
Saturn,Helene,17.6,NA,11389900000000000.0000000,0.5,NA,NA,NA,NA
Saturn,Telesto,12.4,NA,4046400000000000.0000000,0.5,NA,NA,NA,NA
Saturn,Calypso,10.7,NA,2547740000000000.0000000,0.5,NA,NA,NA,NA
Saturn,Atlas,15.1,NA,6594140000000000.0000000,0.46,NA,NA,NA,NA
Saturn,Prometheus,43.1,NA,160957000000000000.0000000,0.48,NA,NA,NA,NA
Saturn,Pandora,40.7,NA,138477000000000000.0000000,0.49,NA,NA,NA,NA
Saturn,Pan,14.1,NA,4945610000000000.0000000,0.42,NA,NA,NA,NA
Saturn,Methone,1.6,NA,14986700000000.0000000,0.5,NA,NA,NA,NA
Saturn,Pallene,2.5,NA,29973400000000.0000000,0.5,NA,NA,NA,NA
Saturn,Polydeuces,1.3,NA,0.0000000,0.5,NA,NA,NA,NA
Saturn,Daphnis,3.8,NA,74933400000000.0000000,0.34,NA,NA,NA,NA
Saturn,Anthe,0.9,NA,0.0000000,0.5,NA,NA,NA,NA
Saturn,Aegaeon,0.3,NA,0.0000000,0.5,NA,NA,NA,NA
Saturn,Ymir,9,NA,4945610000000000.0000000,2.3,NA,NA,NA,NA
