,Date,Year,Month,Day,MaxTemp,MinTemp,Rain,Snow,SnowDepth,Wind,PeakTwoMinWind,PeakWindDirection,PeakGust,fog_wt01,thunder_wt03,hail_wt05,haze_wt08,blowing_snow_wt09,funnel_cloud_wt10,damaging_wind_wt11,rain_wt16,freezing_rain_wt17,snow_wt18,HighWaterLevel,MeanWaterLevel,LowWaterLevel
1,"""1959-01-01""",1959,1,1,1.1,-3.3,1.8,3,25,NA,NA,NA,NA,1,0,0,1,0,0,0,1,0,1,175.931,175.779,175.535
2,"""1959-01-02""",1959,1,2,1.7,-6.1,0,0,25,NA,NA,NA,NA,1,0,0,1,0,0,0,1,0,1,175.931,175.779,175.535
3,"""1959-01-03""",1959,1,3,-6.1,-18.3,4.1,79,51,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,175.931,175.779,175.535
4,"""1959-01-04""",1959,1,4,-17.8,-23.3,0,0,102,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,175.931,175.779,175.535
5,"""1959-01-05""",1959,1,5,-13.3,-25,0,0,76,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,175.931,175.779,175.535
6,"""1959-01-06""",1959,1,6,-5,-17.2,0,0,76,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,175.931,175.779,175.535
7,"""1959-01-07""",1959,1,7,-1.7,-10,0,0,76,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,175.931,175.779,175.535
8,"""1959-01-08""",1959,1,8,-3.3,-11.7,0,0,51,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,175.931,175.779,175.535
9,"""1959-01-09""",1959,1,9,-7.2,-13.9,0,0,51,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,175.931,175.779,175.535
10,"""1959-01-10""",1959,1,10,-4.4,-16.1,0,0,51,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,175.931,175.779,175.535
11,"""1959-01-11""",1959,1,11,0.6,-11.7,0,0,51,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,175.931,175.779,175.535
12,"""1959-01-12""",1959,1,12,2.2,-5.6,0,0,51,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,175.931,175.779,175.535
