Year,YearAverageMaxTemp,JulAverageMaxTemp,AugAverageMaxTemp,SepAverageMaxTemp,OctAverageMaxTemp,NovAverageMaxTemp,DecAverageMaxTemp,JanAverageMaxTemp,FebAverageMaxTemp,MarAverageMaxTemp,AprAverageMaxTemp,MayAverageMaxTemp,JunAverageMaxTemp,YearAverageMinTemp,JulAverageMinTemp,AugAverageMinTemp,SepAverageMinTemp,OctAverageMinTemp,NovAverageMinTemp,DecAverageMinTemp,JanAverageMinTemp,FebAverageMinTemp,MarAverageMinTemp,AprAverageMinTemp,MayAverageMinTemp,JunAverageMinTemp,YearRainPrcpTotal,JulRain,AugRain,SepRain,OctRain,NovRain,DecRain,JanRain,FebRain,MarRain,AprRain,MayRain,JunRain,YearSnowTotal,JulSnow,AugSnow,SepSnow,OctSnow,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,MaySnow,JunSnow,YearAverageSnowDepth,JulSnowDepth,AugSnowDepth,SepSnowDepth,OctSnowDepth,NovSnowDepth,DecSnowDepth,JanSnowDepth,FebSnowDepth,MarSnowDepth,AprSnowDepth,MaySnowDepth,JunSnowDepth,YearAverageWind,JulWind,AugWind,SepWind,OctWind,NovWind,DecWind,JanWind,FebWind,MarWind,AprWind,MayWind,JunWind,PeakTwoMinWind,JulPeakTwoMinWind,AugPeakTwoMinWind,SepPeakTwoMinWind,OctPeakTwoMinWind,NovPeakTwoMinWind,DecPeakTwoMinWind,JanPeakTwoMinWind,FebPeakTwoMinWind,MarPeakTwoMinWind,AprPeakTwoMinWind,MayPeakTwoMinWind,JunPeakTwoMinWind,AveragePeakWindDirection,JulPeakWindDirection,AugPeakWindDirection,SepPeakWindDirection,OctPeakWindDirection,NovPeakWindDirection,DecPeakWindDirection,JanPeakWindDirection,FebPeakWindDirection,MarPeakWindDirection,AprPeakWindDirection,MayPeakWindDirection,JunPeakWindDirection,YearPeakGust,JulPeakGust,AugPeakGust,SepPeakGust,OctPeakGust,NovPeakGust,DecPeakGust,JanPeakGust,FebPeakGust,MarPeakGust,AprPeakGust,MayPeakGust,JunPeakGust,YearFog,JulFog,AugFog,SepFog,OctFog,NovFog,DecFog,JanFog,FebFog,MarFog,AprFog,MayFog,JunFog,YearThunder,JulThunder,AugThunder,SepThunder,OctThunder,NovThunder,DecThunder,JanThunder,FebThunder,MarThunder,AprThunder,MayThunder,JunThunder,YearHail,JulHail,AugHail,SepHail,OctHail,NovHail,DecHail,JanHail,FebHail,MarHail,AprHail,MayHail,JunHail,YearHaze,JulHaze,AugHaze,SepHaze,OctHaze,NovHaze,DecHaze,JanHaze,FebHaze,MarHaze,AprHaze,MayHaze,JunHaze,YearBlowingSnow,JulBlowingSnow,AugBlowingSnow,SepBlowingSnow,OctBlowingSnow,NovBlowingSnow,DecBlowingSnow,JanBlowingSnow,FebBlowingSnow,MarBlowingSnow,AprBlowingSnow,MayBlowingSnow,JunBlowingSnow,YearFunnelCloud,JulFunnelCloud,AugFunnelCloud,SepFunnelCloud,OctFunnelCloud,NovFunnelCloud,DecFunnelCloud,JanFunnelCloud,FebFunnelCloud,MarFunnelCloud,AprFunnelCloud,MayFunnelCloud,JunFunnelCloud,YearDamagingWind,JulDamagingWind,AugDamagingWind,SepDamagingWind,OctDamagingWind,NovDamagingWind,DecDamagingWind,JanDamagingWind,FebDamagingWind,MarDamagingWind,AprDamagingWind,MayDamagingWind,JunDamagingWind,YearRain_wt16,JulRain_wt16,AugRain_wt16,SepRain_wt16,OctRain_wt16,NovRain_wt16,DecRain_wt16,JanRain_wt16,FebRain_wt16,MarRain_wt16,AprRain_wt16,MayRain_wt16,JunRain_wt16,YearFreezingRain_wt16,JulFreezingRain,AugFreezingRain,SepFreezingRain,OctFreezingRain,NovFreezingRain,DecFreezingRain,JanFreezingRain,FebFreezingRain,MarFreezingRain,AprFreezingRain,MayFreezingRain,JunFreezingRain,YearSnow_wt18,JulSnow_wt18,AugSnow_wt18,SepSnow_wt18,OctSnow_wt18,NovSnow_wt18,DecSnow_wt18,JanSnow_wt18,FebSnow_wt18,MarSnow_wt18,AprSnow_wt18,MaySnow_wt18,JunSnow_wt18,YearAverageLowWaterLevel,JulAverageLowWaterLevel,AugAverageLowWaterLevel,SepAverageLowWaterLevel,OctAverageLowWaterLevel,NovAverageLowWaterLevel,DecAverageLowWaterLevel,JanAverageLowWaterLevel,FebAverageLowWaterLevel,MarAverageLowWaterLevel,AprAverageLowWaterLevel,MayAverageLowWaterLevel,JunAverageLowWaterLevel,YearAverageMeanWaterLevel,JulAverageMeanWaterLevel,AugAverageMeanWaterLevel,SepAverageMeanWaterLevel,OctAverageMeanWaterLevel,NovAverageMeanWaterLevel,DecAverageMeanWaterLevel,JanAverageMeanWaterLevel,FebAverageMeanWaterLevel,MarAverageMeanWaterLevel,AprAverageMeanWaterLevel,MayAverageMeanWaterLevel,JunAverageMeanWaterLevel,YearAverageHighWaterLevel,JulAverageHighWaterLevel,AugAverageHighWaterLevel,SepAverageHighWaterLevel,OctAverageHighWaterLevel,NovAverageHighWaterLevel,DecAverageHighWaterLevel,JanAverageHighWaterLevel,FebAverageHighWaterLevel,MarAverageHighWaterLevel,AprAverageHighWaterLevel,MayAverageHighWaterLevel,JunAverageHighWaterLevel
1959,13.83743169,28.59677419,30.08709677,25.01333333,14.01290323,4.223333333,4.506451613,0.361290323,-1.265517241,0.183870968,16.42666667,19.16129032,24.23666667,4.959836066,17.28387097,20.1483871,14.15333333,6.035483871,-4.446666667,-1.825806452,-6.093548387,-6.948275862,-8.6,5.856666667,9.35483871,14.15,869.6,131.5,51.5,48.5,102.7,65.3,50.7,78.3,68.7,29.8,76.7,62.6,103.3,1318,0,0,0,8,265,176,89,442,338,0,0,0,22.54098361,0,0,0,0,10.13333333,13.90322581,12.29032258,106.7931034,130.2258065,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445355191,0.516129032,0.709677419,0.233333333,0.483870968,0.333333333,0.612903226,0.483870968,0.344827586,0.483870968,0.366666667,0.516129032,0.233333333,0.117808219,0.225806452,0.129032258,0.166666667,0.096774194,0.033333333,0,0,0.068965517,0.032258065,0.1,0.064516129,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568306011,0.580645161,0.64516129,0.5,0.612903226,0.5,0.774193548,0.451612903,0.413793103,0.612903226,0.6,0.580645161,0.533333333,0.024590164,0,0,0,0,0.033333333,0.032258065,0.032258065,0.103448276,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415300546,0.419354839,0.451612903,0.4,0.612903226,0.3,0.35483871,0.35483871,0.172413793,0.193548387,0.5,0.580645161,0.633333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224043716,0,0,0,0.096774194,0.333333333,0.35483871,0.419354839,0.793103448,0.548387097,0.1,0.064516129,0,175.9910984,175.949,175.98,175.767,175.91,175.837,175.904,175.959,176.02,175.989,175.949,176.251,176.379,176.2052896,176.123,176.117,176.105,176.096,176.123,176.108,176.148,176.181,176.148,176.224,176.477,176.62,176.4063798,176.266,176.239,176.321,176.315,176.334,176.346,176.33,176.324,176.3,176.641,176.623,176.849
1960,14.77753425,27.73870968,28.31612903,24.93,17.52580645,9.85,0.032258065,-1.587096774,4.446428571,7.970967742,11.52,19.33870968,26.69666667,4.212876712,16.83225806,17.95806452,15.44,6.85483871,0.943333333,-9.519354839,-11.46774194,-5.178571429,-1.393548387,1.053333333,5.932258065,12.61666667,650.2,108.6,87.9,35.4,33.9,20.7,11.7,6.9,22.5,101.8,62.7,51.5,106.6,586,0,0,0,0,3,107,76,165,61,174,0,0,3.687671233,0,0,0,0,0,14.77419355,7.322580645,17.25,1.64516129,4.233333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356164384,0.225806452,0.483870968,0.5,0.35483871,0.366666667,0.161290323,0.258064516,0.607142857,0.451612903,0.533333333,0.129032258,0.233333333,0.081967213,0.161290323,0.161290323,0.1,0.096774194,0.033333333,0,0,0,0.064516129,0.033333333,0.129032258,0.2,0.005479452,0.032258065,0,0.033333333,0,0,0,0,0,0,0,0,0,0.578082192,0.64516129,0.838709677,0.733333333,0.548387097,0.5,0.322580645,0.483870968,0.785714286,0.580645161,0.566666667,0.483870968,0.466666667,0.008219178,0,0,0,0,0,0,0,0.071428571,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002739726,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0.35890411,0.516129032,0.387096774,0.433333333,0.290322581,0.433333333,0.129032258,0.064516129,0.214285714,0.516129032,0.566666667,0.387096774,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134246575,0,0,0,0.032258065,0.133333333,0.483870968,0.290322581,0.321428571,0.096774194,0.266666667,0,0,176.3086137,176.608,176.62,176.614,176.373,176.193,176.245,176.175,176.114,176.059,176.169,176.242,176.273,176.5131863,176.724,176.76,176.724,176.644,176.553,176.492,176.382,176.306,176.334,176.358,176.419,176.443,176.7250247,176.885,177.025,176.971,176.894,176.702,176.772,176.587,176.504,176.532,176.617,176.547,176.644
1961,14.32273973,27.32258065,27.74516129,24.8,17.65806452,8.736666667,0.380645161,-4.370967742,-0.589285714,4.212903226,14.88,23.69032258,26.53333333,4.196438356,16.07741935,15.51935484,12.49666667,6.280645161,0.023333333,-7.851612903,-12.55806452,-7.817857143,-2.622580645,3.763333333,12.96774194,13.33,876.5,93.7,34.1,290.7,84.9,44.9,34.6,60.8,30.1,33.8,29,85.8,54.1,1213,0,0,0,0,51,272,472,256,144,18,0,0,29.56986301,0,0,0,0,1.7,40.09677419,164.7741935,123.3928571,30.19354839,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424657534,0.419354839,0.451612903,0.6,0.548387097,0.433333333,0.548387097,0.322580645,0.5,0.451612903,0.3,0.290322581,0.233333333,0.098630137,0.161290323,0.129032258,0.4,0.064516129,0,0,0,0,0,0.066666667,0.290322581,0.166666667,0.005479452,0.032258065,0,0,0,0,0,0,0,0,0.033333333,0,0,0.654794521,0.516129032,0.709677419,0.733333333,0.612903226,0.533333333,0.774193548,0.516129032,0.821428571,0.806451613,0.533333333,0.612903226,0.7,0.008219178,0,0,0,0,0,0.032258065,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134246575,0,0,0,0,0.1,0.193548387,0.290322581,0.142857143,0.193548387,0.333333333,0.322580645,0.033333333,0.389041096,0.483870968,0.35483871,0.533333333,0.451612903,0.366666667,0.290322581,0.290322581,0.321428571,0.35483871,0.333333333,0.451612903,0.433333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219178082,0,0,0,0.032258065,0.166666667,0.580645161,0.516129032,0.714285714,0.516129032,0.133333333,0,0,176.1115781,176.276,176.248,176.178,176.123,176.102,175.959,175.968,176.05,176.065,176.09,176.017,176.263,176.3186685,176.465,176.459,176.428,176.382,176.321,176.254,176.187,176.172,176.187,176.257,176.334,176.367,176.4968219,176.568,176.632,176.635,176.544,176.535,176.529,176.401,176.309,176.355,176.468,176.489,176.483
1962,14.40849315,26.09032258,28.86451613,23.30333333,19.19032258,9.956666667,-0.012903226,-7.035483871,-2.539285714,9.632258065,16.87,19.72903226,27.87,2.521369863,15.2,15.29354839,8.596666667,7.261290323,-0.976666667,-9.838709677,-15.7,-14.22857143,-1.006451613,4.076666667,7.277419355,13.15666667,579.3,133.9,41.3,38.2,22.7,18.2,5.9,21.4,9.2,57.4,124,48.7,58.4,901,0,0,0,0,8,60,426,215,192,0,0,0,10.55616438,0,0,0,0,0,3.258064516,67.93548387,52.46428571,5.709677419,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257534247,0.35483871,0.161290323,0.233333333,0.387096774,0.4,0.225806452,0.225806452,0.25,0.451612903,0.133333333,0.225806452,0.033333333,0.082191781,0.161290323,0.096774194,0.066666667,0.129032258,0,0,0,0,0.096774194,0.1,0.096774194,0.166666667,0.008219178,0,0,0,0,0,0,0,0,0,0.033333333,0,0.066666667,0.61369863,0.612903226,0.774193548,0.566666667,0.516129032,0.8,0.516129032,0.612903226,0.607142857,0.741935484,0.5,0.516129032,0.6,0.01369863,0,0,0,0,0,0,0.161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032876712,0,0,0.066666667,0.193548387,0.066666667,0.064516129,0,0,0,0,0,0,0.367123288,0.516129032,0.451612903,0.366666667,0.451612903,0.4,0.064516129,0.193548387,0.214285714,0.548387097,0.533333333,0.419354839,0.233333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194520548,0,0,0,0.032258065,0.166666667,0.483870968,0.677419355,0.571428571,0.387096774,0.033333333,0,0,175.8484904,176.254,176.184,176.071,175.995,175.879,175.69,175.611,175.761,175.7,175.709,175.687,175.629,176.0626247,176.361,176.315,176.282,176.175,176.059,175.962,175.885,175.858,175.843,175.94,176.013,176.041,176.2536575,176.51,176.459,176.468,176.343,176.266,176.239,176.038,175.953,175.998,176.236,176.334,176.175
1963,15.60027322,28.29354839,26.50322581,25.25333333,23.76129032,11.11333333,-4.94516129,2.509677419,2.393103448,6.070967742,14.51,23.87096774,27.53333333,3.490437159,16.2,14.07741935,11.16666667,7.812903226,-0.14,-15.89677419,-7.277419355,-8.368965517,-4.167741936,4.426666667,10.2,13.57333333,705.4,104,69.3,73.1,7.2,50.9,18.7,18.4,13.3,87.8,132.6,57.4,72.7,924,0,0,0,0,0,227,42,151,504,0,0,0,5.540983607,0,0,0,0,0,38.48387097,2.419354839,6.965517241,15.5483871,2.533333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275956284,0.193548387,0.35483871,0.266666667,0.258064516,0.433333333,0.064516129,0.290322581,0.206896552,0.322580645,0.4,0.193548387,0.333333333,0.084931507,0.161290323,0.129032258,0.133333333,0.064516129,0.066666667,0,0.032258065,0,0,0.233333333,0.161290323,0.2,0.008196721,0,0,0,0.032258065,0.033333333,0,0.032258065,0,0,0,0,0,0.557377049,0.387096774,0.64516129,0.666666667,0.677419355,0.666666667,0.483870968,0.548387097,0.482758621,0.612903226,0.466666667,0.419354839,0.633333333,0.008196721,0,0,0,0,0,0.032258065,0.032258065,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3715847,0.35483871,0.516129032,0.333333333,0.35483871,0.366666667,0.161290323,0.258064516,0.034482759,0.451612903,0.7,0.419354839,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163934426,0,0,0,0,0.1,0.419354839,0.322580645,0.517241379,0.548387097,0.066666667,0,0,175.5583415,175.913,175.904,175.825,175.727,175.422,175.547,175.221,175.425,175.346,175.383,175.45,175.526,175.7820219,176.05,176.047,175.974,175.898,175.821,175.721,175.626,175.608,175.581,175.584,175.715,175.748,175.9668934,176.163,176.178,176.248,176.084,176.078,175.892,175.803,175.754,175.794,175.757,175.873,175.971
1964,14.23945205,28.45806452,27.14193548,24.10333333,16.82258065,11.23333333,0.390322581,-0.912903226,0.821428571,0.922580645,12.98666667,23.25483871,24.87666667,2.389589041,16.07096774,12.46774194,10.62333333,0.903225807,-0.756666667,-8.541935484,-10.80645161,-9.410714286,-6.929032258,3.15,9.635483871,11.61333333,822.3,107.6,49.7,100.5,4.1,73.6,38.4,104.5,30.1,77.9,88.6,60,87.3,1562,0,0,0,0,59,283,298,292,630,0,0,0,16.4109589,0,0,0,0,0.833333333,42.5483871,26.19354839,59.85714286,69.61290323,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293150685,0.258064516,0.161290323,0.4,0.193548387,0.3,0.483870968,0.322580645,0.357142857,0.387096774,0.433333333,0.064516129,0.166666667,0.106557377,0.258064516,0.129032258,0.133333333,0.032258065,0.1,0,0,0,0.032258065,0.233333333,0.193548387,0.133333333,0.005479452,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0.528767123,0.612903226,0.548387097,0.533333333,0.451612903,0.433333333,0.548387097,0.612903226,0.428571429,0.548387097,0.7,0.483870968,0.433333333,0.030136986,0,0,0,0,0.033333333,0.032258065,0.064516129,0.142857143,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408219178,0.483870968,0.387096774,0.466666667,0.290322581,0.366666667,0.419354839,0.290322581,0.321428571,0.322580645,0.7,0.516129032,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183561644,0,0,0,0.032258065,0.1,0.451612903,0.419354839,0.392857143,0.741935484,0.066666667,0,0,175.4782356,175.62,175.553,175.565,175.562,175.264,175.37,175.337,175.239,175.258,175.508,175.614,175.834,175.7324438,175.767,175.77,175.761,175.709,175.648,175.596,175.593,175.623,175.657,175.754,175.916,175.992,175.9303452,175.949,175.934,175.974,175.953,175.858,175.797,175.867,175.879,175.779,175.956,176.105,176.114
1965,14.65068493,27.76129032,25.61612903,22.61333333,17.69677419,9.916666667,5.883870968,-3.664516129,1.75,9.638709677,12.97333333,18.11935484,26.69333333,3.516712329,13.76129032,14.39677419,12.64666667,5.864516129,-0.706666667,-2.277419355,-13.78064516,-8.310714286,-1.293548387,1.683333333,5.593548387,13.91333333,1040.3,93.1,162.4,127.8,39.9,37.3,84.4,27.7,44.7,67.3,159.5,121.1,75.1,736,0,0,0,0,5,168,394,110,18,0,41,0,9.391780822,0,0,0,0,0,10.64516129,72.87096774,29.07142857,0,0,0.806451613,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.290410959,0.322580645,0.419354839,0.366666667,0.193548387,0.333333333,0.322580645,0.064516129,0.285714286,0.290322581,0.4,0.35483871,0.133333333,0.109589041,0.161290323,0.290322581,0.233333333,0,0.033333333,0,0,0,0.064516129,0.166666667,0.096774194,0.133333333,0.008219178,0,0.032258065,0,0,0.033333333,0,0,0,0.032258065,0,0,0,0.594520548,0.612903226,0.612903226,0.633333333,0.290322581,0.633333333,0.612903226,0.548387097,0.75,0.774193548,0.466666667,0.516129032,0.7,0.005479452,0,0,0,0,0,0.032258065,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402739726,0.387096774,0.516129032,0.633333333,0.419354839,0.4,0.322580645,0.064516129,0.25,0.419354839,0.5,0.451612903,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175342466,0,0,0,0.032258065,0.166666667,0.419354839,0.483870968,0.357142857,0.35483871,0.2,0.096774194,0,175.9013205,175.885,175.895,175.812,175.928,175.636,175.864,175.849,175.901,175.907,175.919,176.096,176.12,176.1194082,176.023,176.041,176.05,176.111,176.068,176.093,176.114,176.084,176.12,176.184,176.26,176.285,176.3182822,176.108,176.218,176.282,176.337,176.346,176.459,176.312,176.251,176.27,176.352,176.431,176.452
1966,14.9260274,30.53225806,27.60645161,24.32666667,18.06451613,10.87666667,0.974193548,2.009677419,-1.710714286,6.848387097,14.40333333,17.7,26.39666667,3.702465753,16.66451613,14.10322581,9.533333333,3.480645161,0.703333333,-6.474193548,-6.770967742,-11.84285714,-1.896774194,3.85,6.425806452,15.63,823.5,55.7,25.4,14,54.9,120.5,48,56.7,46.3,58.7,100.8,40.8,201.7,1722,0,0,0,0,13,214,639,546,224,86,0,0,40.49041096,0,0,0,0,0,13.93548387,91.77419355,370.0714286,34.32258065,2.533333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.276712329,0.096774194,0.193548387,0.333333333,0.193548387,0.266666667,0.290322581,0.193548387,0.142857143,0.548387097,0.466666667,0.129032258,0.466666667,0.082191781,0.225806452,0.064516129,0,0.032258065,0.133333333,0.064516129,0.032258065,0,0.032258065,0.2,0.096774194,0.266666667,0.008219178,0,0,0,0,0,0,0,0,0,0.033333333,0.032258065,0.033333333,0.624657534,0.612903226,0.709677419,0.566666667,0.451612903,0.766666667,0.612903226,0.548387097,0.571428571,0.774193548,0.666666667,0.419354839,0.8,0.032876712,0,0,0,0,0,0.032258065,0.096774194,0.214285714,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378082192,0.387096774,0.322580645,0.4,0.258064516,0.466666667,0.322580645,0.193548387,0.178571429,0.35483871,0.6,0.483870968,0.566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18630137,0,0,0,0.032258065,0.166666667,0.451612903,0.548387097,0.678571429,0.322580645,0.033333333,0.032258065,0,175.9474767,176.12,176.059,175.959,175.861,175.7,175.761,175.739,175.892,175.928,176.047,176.135,176.166,176.1675205,176.291,176.242,176.184,176.078,175.998,176.065,176.05,176.074,176.047,176.218,176.34,176.419,176.3671726,176.419,176.407,176.349,176.33,176.364,176.212,176.352,176.248,176.26,176.388,176.474,176.599
1967,14.79836066,26,25.03870968,22.97666667,16.61612903,6.703333333,2.896774194,-0.696774194,0.651724138,12.3516129,17.33666667,19.93548387,27.34666667,3.979781421,14.47096774,12.88387097,9.966666667,6.558064516,-0.886666667,-4.822580645,-8.438709677,-10.03448276,-0.448387097,5.203333333,7.761290323,15.07333333,722,47.5,66.1,62.4,98.8,55.6,61.3,45.2,22.2,22.8,58.8,75.9,105.4,707,0,0,0,168,62,73,265,97,39,3,0,0,5.469945355,0,0,0,2.451612903,0,4.032258065,50.77419355,7.827586207,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355191257,0.322580645,0.419354839,0.666666667,0.258064516,0.366666667,0.516129032,0.387096774,0.137931035,0.225806452,0.3,0.322580645,0.333333333,0.095890411,0.193548387,0.161290323,0.066666667,0.032258065,0,0.064516129,0,0.034482759,0.032258065,0,0.161290323,0.166666667,0.005464481,0,0.032258065,0,0,0,0.032258065,0,0,0,0,0,0,0.581967213,0.580645161,0.612903226,0.7,0.580645161,0.466666667,0.612903226,0.838709677,0.310344828,0.516129032,0.566666667,0.612903226,0.566666667,0.005464481,0,0,0,0,0,0.032258065,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431693989,0.483870968,0.451612903,0.4,0.451612903,0.3,0.516129032,0.322580645,0.137931035,0.290322581,0.5,0.741935484,0.566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207650273,0,0,0.066666667,0.096774194,0.3,0.451612903,0.64516129,0.517241379,0.290322581,0.133333333,0,0,176.1923005,176.385,176.361,176.279,176.032,176.175,176.023,176.123,176.175,176.145,176.084,176.218,176.309,176.3694727,176.504,176.483,176.41,176.327,176.358,176.309,176.279,176.337,176.257,176.33,176.385,176.455,176.5354399,176.599,176.617,176.58,176.596,176.556,176.489,176.474,176.459,176.391,176.486,176.574,176.602
1968,14.73561644,27.97096774,28.44193548,24.12666667,17.96129032,8.176666667,1.367741936,-2.167741936,2.003571429,6.8,16.44,21.77419355,23.11666667,4.853150685,16.45483871,17.84193548,13.05,7.2,0.72,-6.061290323,-9.958064516,-4.378571429,-4.119354839,4.443333333,9.764516129,12.76,949.7,51.7,135.2,98.6,26.4,93.9,70.5,41.4,3.2,49.1,102.1,80.5,197.1,571,0,0,0,0,18,278,95,60,120,0,0,0,7.369863014,0,0,0,0,0,12.22580645,72.93548387,0.892857143,0.806451613,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312328767,0.225806452,0.290322581,0.533333333,0.290322581,0.333333333,0.35483871,0.35483871,0.142857143,0.193548387,0.366666667,0.35483871,0.3,0.095628415,0.225806452,0.161290323,0.266666667,0.096774194,0,0,0,0,0,0.166666667,0.129032258,0.433333333,0.008219178,0,0,0,0,0,0,0,0,0,0,0.032258065,0.066666667,0.564383562,0.451612903,0.64516129,0.666666667,0.483870968,0.5,0.516129032,0.548387097,0.5,0.483870968,0.7,0.64516129,0.633333333,0.019178082,0,0,0,0,0,0.032258065,0.161290323,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419178082,0.419354839,0.35483871,0.5,0.35483871,0.333333333,0.322580645,0.483870968,0.142857143,0.161290323,0.466666667,0.64516129,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183561644,0,0,0,0,0.233333333,0.741935484,0.548387097,0.428571429,0.258064516,0,0,0,176.3826466,176.394,176.416,176.474,176.337,176.306,176.184,176.3,176.422,176.282,176.388,176.507,176.593,176.5601397,176.547,176.59,176.583,176.565,176.507,176.474,176.468,176.501,176.465,176.541,176.684,176.797,176.7373589,176.657,176.876,176.696,176.791,176.681,176.66,176.696,176.651,176.571,176.693,176.897,176.974
