"year","YearAverageIrrad","JulAverageIrrad","AugAverageIrrad","SepAverageIrrad","OctAverageIrrad","NovAverageIrrad","DecAverageIrrad","JanAverageIrrad","FebAverageIrrad","MarAverageIrrad","AprAverageIrrad","MayAverageIrrad","JunAverageIrrad"
1959,1360.44012784661,1309.59611651366,1325.06120616972,1350.41977370567,1379.7741027406,1405.39801409558,1419.4800279436,1411.2574213473,1393.36287273649,1367.48808773439,1339.85639394825,1318.20652614859,1307.31642094572
1960,1360.07867675713,1305.79439028707,1319.76988704144,1344.31661811004,1374.18635870076,1401.68103451021,1418.71342223776,1417.26705457806,1399.89284951339,1372.73281913495,1343.11661988493,1318.97434496056,1305.59627656354
1961,1359.9586923419,1305.23196813656,1316.10497641502,1338.19894360207,1366.81457279935,1394.71325090888,1414.00476389244,1419.76200178509,1405.2720506391,1379.88443410755,1350.00952578847,1324.17765264949,1308.14207381887
1962,1360.34514701556,1308.23244535752,1315.91573276572,1334.77299740059,1360.64433357282,1387.09252669917,1406.72859467265,1418.66329455753,1407.84892145221,1385.37586477739,1357.07074780049,1331.1617799985,1313.65790954148
1963,1360.97842670827,1314.11089318037,1319.42907942021,1335.14603440323,1357.5934543655,1381.09022531143,1399.0868772768,1413.6916527341,1406.28336003597,1387.42951844483,1362.16177459162,1337.95842644577,1320.69845601433
1964,1361.73624548642,1321.08981563653,1325.93963230038,1339.80810204951,1359.25805093896,1379.15672370787,1393.82344365498,1406.31491132579,1400.72697562664,1384.61760347776,1362.8585231553,1341.78144435658,1326.73703783517
1965,1362.07058399796,1327.02611946045,1332.82663615813,1346.22031272647,1363.76035937183,1380.59924051628,1391.7292319328,1398.90616659927,1393.26729472607,1379.12524617258,1360.31203944889,1342.57866701935,1330.52686326763
1966,1362.19170237313,1330.10764637183,1338.31627713648,1352.97206937262,1370.33344734064,1385.44516268193,1393.59792068478,1393.69604194509,1386.32256807441,1372.09233853659,1354.73166691703,1339.59670976372,1330.6173551936
1967,1361.99686672391,1329.61101360067,1340.87891972715,1358.10679465353,1377.00489135636,1392.13090714823,1398.64936188773,1392.04026118197,1381.73554334399,1365.72503175835,1348.02356928918,1333.9957300895,1327.24538367377
1968,1361.69355010836,1326.21168810539,1340.56138773702,1361.02424534347,1382.61651717041,1399.21913567407,1405.43274106581,1394.13787412517,1380.26754638052,1361.02916342843,1341.51652577349,1327.18833296913,1321.55914827507
1969,1361.06257488191,1320.44138279713,1336.63127117941,1359.8842977848,1384.72192309608,1404.26347350407,1412.23948538313,1398.85475597952,1382.2605565279,1360.14892713604,1337.76726416562,1321.52276316219,1315.19058049138
1970,1360.52687403341,1314.00211714615,1330.60274993859,1355.61353272901,1383.34554636941,1406.34435771159,1417.40294671361,1405.66718468207,1387.46897179065,1362.63012297978,1337.10487212561,1318.01313006938,1309.65724000668
1971,1360.1000646526,1308.46387967415,1323.9361856533,1349.20655561374,1378.74199346077,1404.80012369841,1419.51954580857,1412.62645164239,1394.39460546096,1367.97510923646,1339.71456924501,1317.53627484907,1306.30181795038
1972,1360.06561234547,1305.44895909079,1318.92141223544,1343.13569233254,1372.90516732036,1400.61864812732,1418.16953562002,1417.95958366442,1401.01999954713,1374.01474979642,1344.22171372256,1319.70854312512,1305.80620098914
1973,1359.99662479391,1305.43128316695,1315.73487947563,1337.31823511995,1365.57978602582,1393.41396776014,1412.95983481593,1419.90716856642,1406.02333523871,1381.03378967621,1351.2899089901,1325.27576770117,1308.86178382386
1974,1360.43129401809,1308.94632193326,1316.12316497849,1334.42920800892,1359.78150425644,1385.89539119359,1405.47348314582,1418.1688268721,1408.00525700373,1386.10228810477,1358.18176380242,1332.3791468803,1314.7289136348
1975,1361.08506870958,1315.13529379959,1320.14787121892,1335.40996929771,1357.32830368795,1380.33481710596,1397.99276621532,1412.70306248127,1405.79028554566,1387.52282627184,1362.79735269585,1338.94685461558,1321.81905279093
1976,1361.82111296362,1322.09077855778,1326.90388603552,1340.53886736281,1359.59226832991,1378.99925535732,1393.1982897907,1405.15601318564,1399.78948867004,1384.11504604289,1362.86915325787,1342.27514105379,1327.57132603441
1977,1362.11223361866,1327.68339795376,1333.70970022438,1347.14169306196,1364.53673151092,1381.03539635539,1391.72283408902,1397.95670720886,1392.22991963494,1378.24134579313,1359.75770001631,1342.45804069644,1330.83041187499
1978,1362.18123003902,1330.23237776851,1338.82730738301,1353.76699698737,1371.25443482621,1386.28097035544,1394.15433528866,1393.23285787486,1385.53689676774,1371.17169770261,1353.86794350119,1338.97498353127,1330.34502345992
1979,1361.94388778769,1329.19684008109,1340.86817289627,1358.51442417326,1377.76249781093,1393.09137721002,1399.57700583507,1392.16901742976,1381.43117520438,1365.06285682187,1347.16486017856,1333.11996946929,1326.52930397519
1980,1361.61843215745,1325.39878015546,1340.03606705704,1360.93005078808,1382.99761795365,1400.02839472531,1406.47788040356,1394.79388744882,1380.51262394604,1360.81918265446,1340.91257164238,1326.33117450306,1320.62857550196
1981,1360.9772890249,1319.41931665523,1335.71038162927,1359.26000951843,1384.59154857103,1404.68693028612,1413.13794914608,1399.87187929051,1383.0081536284,1360.4617003473,1337.60126568845,1320.91779088043,1314.28694885296
1982,1360.45097945682,1313.0183312434,1329.48182638779,1354.58063956883,1382.69151828296,1406.22554229684,1417.9110158818,1406.81850659851,1388.57585942615,1363.44151480824,1337.42991933885,1317.83426583477,1309.00980171699
1983,1360.05116806531,1307.75500592114,1322.87044249545,1347.97938423584,1377.64592773553,1404.11942553066,1419.46628230641,1413.64153496219,1395.62641835887,1369.12625650974,1340.53271749747,1317.86722106401,1306.08793370141
1984,1360.05956585673,1305.18624516469,1318.13412905704,1341.97227945377,1371.61110502265,1399.50025242522,1417.53707224935,1418.57563389516,1402.10253620698,1375.29281139326,1345.3849121715,1320.50674629788,1306.09827321887
1985,1360.04325107575,1305.71838452768,1315.44769115806,1336.50931245888,1364.38256056725,1392.10515010025,1411.85682524243,1419.95497163723,1406.69870430441,1382.13558828949,1352.56778715642,1326.41320861326,1309.65230998536
1986,1360.5227462474,1309.72793846184,1316.42050092088,1334.18069443858,1358.99971868553,1384.74460291459,1404.21066968658,1417.58506055695,1408.05933583022,1386.73516845977,1359.24375143134,1333.58113414338,1315.83345317191
1987,1361.19105339364,1316.1787537534,1320.92539674299,1335.7606313739,1357.16158490803,1379.65913425691,1396.95560542355,1411.66094531751,1405.21165045956,1387.51419645254,1363.34024711873,1339.87849992092,1322.91611450791
1988,1361.90021145701,1323.05790613731,1327.87779531209,1341.32040440568,1360.01715990425,1378.94035998674,1392.66392622761,1404.00742914488,1398.81043768531,1383.53382948483,1362.77435477735,1342.67558702048,1328.33594983742
1989,1362.14547563766,1328.26858286784,1334.55312808966,1348.06931173879,1365.34901955156,1381.5545227731,1391.80832416883,1397.06799704801,1391.2065205509,1377.32097696998,1359.1364630467,1342.24960357393,1331.04535017325
1990,1362.16267593057,1330.27517336249,1339.25936377799,1354.51594402172,1372.16344754643,1387.15893734301,1394.78169718218,1392.85873843764,1384.81205072658,1370.26810854338,1352.99076008288,1338.29183017693,1329.99403070151
1991,1361.88599315473,1328.70873969161,1340.76816148077,1358.84774423712,1378.47277557935,1394.0472774413,1400.54018844232,1392.38270928158,1381.213915689,1364.46843615805,1346.33144365729,1332.23020369155,1325.76320860108
1992,1361.54150135674,1324.53737709342,1339.43832072787,1360.75310740687,1383.31223654924,1400.79137219009,1407.51794894801,1395.52070760381,1380.84513524661,1360.68847592552,1340.36605291492,1325.49425021574,1319.68585900287
1993,1360.89207629227,1318.38931642102,1334.74110037126,1358.57864466727,1384.3718160897,1405.02991640873,1413.98891743126,1400.92253085666,1383.82195029235,1360.86396116986,1337.49375907014,1320.37343775553,1313.41133837181
1994,1360.37764606202,1312.06429242805,1328.36113209308,1353.50214375711,1381.95020166738,1406.01584118491,1418.33819191161,1407.9668179426,1389.70228502471,1364.31851824378,1337.84364120354,1317.73243551705,1308.42162545565
